label,h,error
no limiter order 1 + euler,0.0625,0.45562886759505733
no limiter order 1 + euler,0.03125,0.2938863254496645
no limiter order 1 + euler,0.015625,0.16908286719175875
no limiter order 1 + euler,0.0078125,0.09099703694052874
no limiter order 1 + euler,0.00390625,0.04724495596053431
no limiter order 1 + euler,0.001953125,0.024076895550314573
no limiter order 2 + rk2,0.0625,0.14871910726863083
no limiter order 2 + rk2,0.03125,0.03842372469199342
no limiter order 2 + rk2,0.015625,0.009636466235808001
no limiter order 2 + rk2,0.0078125,0.0024096404115422905
no limiter order 2 + rk2,0.00390625,0.00060240264188827
no limiter order 2 + rk2,0.001953125,0.00015059899150681217
no limiter order 3 + rk3,0.0625,0.040781367922976375
no limiter order 3 + rk3,0.03125,0.00531507773536136
no limiter order 3 + rk3,0.015625,0.0006691241844132042
no limiter order 3 + rk3,0.0078125,8.375160589049703e-05
no limiter order 3 + rk3,0.00390625,1.0471825530415147e-05
no limiter order 3 + rk3,0.001953125,1.309058636977056e-06
no limiter order 4 + rk4,0.0625,0.0019319296109019893
no limiter order 4 + rk4,0.03125,0.00010070635374998796
no limiter order 4 + rk4,0.015625,5.9356106727847906e-06
no limiter order 4 + rk4,0.0078125,3.6493165740623663e-07
no limiter order 4 + rk4,0.00390625,2.2712040068712436e-08
no limiter order 4 + rk4,0.001953125,1.417992667654812e-09
no limiter order 5 + rk4 + $\Delta t$ * 0.5,0.0625,0.0012051824085226245
no limiter order 5 + rk4 + $\Delta t$ * 0.42045,0.03125,3.860646753881805e-05
no limiter order 5 + rk4 + $\Delta t$ * 0.35355,0.015625,1.213659289208747e-06
no limiter order 5 + rk4 + $\Delta t$ * 0.2973,0.0078125,3.79851958402322e-08
no limiter order 5 + rk4 + $\Delta t$ * 0.25,0.00390625,1.1874725898224602e-09
no limiter order 5 + rk4 + $\Delta t$ * 0.21022,0.001953125,3.711075457352164e-11
no limiter order 6 + rk4 + $\Delta t$ * 0.25,0.0625,5.222376598740079e-05
no limiter order 6 + rk4 + $\Delta t$ * 0.17678,0.03125,6.252067496011378e-07
no limiter order 6 + rk4 + $\Delta t$ * 0.125,0.015625,8.7838530571328e-09
no limiter order 6 + rk4 + $\Delta t$ * 0.08839,0.0078125,1.331556644730992e-10
no limiter order 6 + rk4 + $\Delta t$ * 0.0625,0.00390625,2.064323497840033e-12
no limiter order 6 + rk4 + $\Delta t$ * 0.04419,0.001953125,3.201741341940945e-14
