label,h,error
order 1 + euler,0.125,0.06014949241470696
order 1 + euler,0.0625,0.05988601398615735
order 1 + euler,0.03125,0.058858146245239634
order 1 + euler,0.015625,0.05888684447469834
order 2 + rk2,0.125,0.07601639951220424
order 2 + rk2,0.0625,0.08190479659648527
order 2 + rk2,0.03125,0.08117755065031598
order 2 + rk2,0.015625,0.07314569977825716
order 3 + rk3,0.125,0.06867143536885356
order 3 + rk3,0.0625,0.07177666282119789
order 3 + rk3,0.03125,0.07063151448466393
order 3 + rk3,0.015625,0.06560675568384325
order 4 + rk4,0.125,0.0813153066085468
order 4 + rk4,0.0625,0.07712659997702297
order 4 + rk4,0.03125,0.06670159713764998
order 4 + rk4,0.015625,0.06379374106795153
order 5 + rk4 + $\Delta t$ * 0.5,0.125,0.0835387766709518
order 5 + rk4 + $\Delta t$ * 0.42045,0.0625,0.0778959407854507
order 5 + rk4 + $\Delta t$ * 0.35355,0.03125,0.06633030127521283
order 5 + rk4 + $\Delta t$ * 0.2973,0.015625,0.0637892467501042
